视频名称：#漫威
视频点赞数：503000
视频地址：https://www.douyin.com/video/6853749401026841868
评论：
点赞数：54000  原来那是小罗伯特唐尼大喊后的声音啊 没认出来
点赞数：24000  我咋觉得是故意说是唐尼的呢，这俩人不应该总互掐吗
点赞数：16000  唐尼有点可爱呢
点赞数：12000  唐尼真的好可爱
点赞数：5855  当时差点就掏出玄戒，把他给变美了。
点赞数：669  不知道为什么本尼长得越来越像驴
点赞数：402  这要是喊唐尼会怎么样
点赞数：209  记者：本尼，你认为谁的福尔摩斯演的好
点赞数：194  两个福尔摩斯 你们好好相爱吧
点赞数：126  哈哈，两个活宝，都很可爱
点赞数：97  不愧是骚尼呢
点赞数：86  笑死了哈哈哈哈哈哈哈
点赞数：68  哈哈哈我想看妮妮视角
点赞数：64  button…fuxk
点赞数：60  主持人:老娘还有事，停止酸臭行为好吗
点赞数：17  谁有唐尼视角
点赞数：10  我想看唐尼喊的时候是什么表情
点赞数：9  这两个福尔摩斯的互怼
点赞数：7  从神探夏洛克开始
点赞数：7  唐尼:本尼！！你是最棒的！！！
点赞数：7  有多少是从夏洛克粉的卷福
点赞数：7  为唐尼而没有大明星架子
点赞数：6  他刚刚说了一句那是斯塔克吗？
点赞数：6  本尼:我TM真谢谢你
点赞数：6  他故意这么说的，并不是唐尼
点赞数：6  每次看他们采访捣乱的视频我都能笑死
点赞数：5  记者职业假笑
点赞数：5  福尔摩斯 你是最棒的
点赞数：5  表演变脸，不愧是女人
点赞数：5  记者姐姐的瞬时变脸
点赞数：5  “有人去抢劫GUCCl 梅西百货或者耐克”我这才是rap
点赞数：5  所以神探夏洛克第五季什么时候出
点赞数：4  @二菇凉本菇 @京墨 本尼哎～
点赞数：3  夏洛克只能有一个
点赞数：3  哈哈哈哈哈哈哈哈哈@鱼丸总想晚点起 @@森ャ @34377-232123
点赞数：2  特别喜欢本尼演的夏洛克版本
点赞数：2  本尼诶～～～～～～笑死我了哈哈哈哈哈哈哈
点赞数：2  @是糖糖啊。 托尼屎大颗调皮了
点赞数：1  @冰糖葫芦与山楂汉堡 钢铁侠喊的“本尼诶”
点赞数：1  @無 救命他说ladies and gentlemen 我真的
点赞数：1  @like忘羡
点赞数：1  皮皮唐
点赞数：1  脸变圆润🐤，没那么长了
点赞数：1  星巴克居然拒收硬币，你们知道吗？
点赞数：1  @二萌 哈哈哈哈锁了
点赞数：1  @#艾aiaiai妮
点赞数：1  @Pyronin 来看妮妮哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了
点赞数：1  @是库里的宝贝爆米花呀 笑飞了
点赞数：1  不来中国说相声可惜了
点赞数：1  @思思今天肥了吗🧸
