视频名称：#漫威
视频点赞数：270000
视频地址：https://www.douyin.com/video/6815167564365237508
评论：
点赞数：36000  讲故事的姿势都架好了， 硬给憋回去了
点赞数：32000  他和荷兰弟加起来就是整个剧情了
点赞数：957  第一次哭是因为我知道电影才演三十分钟我就没了一条胳膊
点赞数：751  一个马克叔一个荷兰弟，能把我逗死
点赞数：526  守口如瓶荷兰弟，从不剧透马克叔
点赞数：422  守口如瓶马克书，绝对不透荷兰弟，老戏骨了
点赞数：416  主要是他还不觉得自己在剧透
点赞数：329  年纪大了体谅一下
点赞数：320  喔喔喔 幸好我寡姐嘴快 嘿嘿 话说我居然点了第4399个赞
点赞数：310  马克叔露出了尴尬又不失礼貌的微笑
点赞数：192  毁灭者：还好，我差点就拔刀了
点赞数：175  漫威剧透 全靠马克叔和荷兰弟
点赞数：161  他第一次看哭了是知道了真正的剧情吧
点赞数：147  巴蒂斯塔老了好多啊
点赞数：133  马克叔：我永远不知道我拿到的哪一个是真剧本
点赞数：9  记者:第一次哭是因为什么
点赞数：8  绝不剧透荷兰弟
点赞数：8  转发 · 记者：钢铁侠死了没？荷兰弟：我不能剧透 记者：惨不惨？荷兰弟：惨
点赞数：7  哭了三次，因为导演怕你剧透拍了两场都是你杀青了
点赞数：7  守口如瓶荷兰弟，从不剧透马克叔
点赞数：6  荷兰弟加马克叔等于漫威电影解说
点赞数：5  @humor等83.6w人 看看讲故事憋回去啦！这个是剧透狂魔马克叔 荷兰弟是启瓶器
点赞数：5  看见战神巴蒂了，
点赞数：5  第一次是因为剧本上绿巨人挂了
点赞数：5  浩克：妈呀，这主持人也忒坏了点吧，吓得差点要变身！
点赞数：4  The animal 巴蒂斯塔
点赞数：4  马克叔采访10分钟，荷兰弟采访10分钟，推理一下，基本剧情就都通顺了
点赞数：4  浩克旁边那位，是不是wwe的巴蒂斯塔？
点赞数：4  他是故意的
点赞数：3  还笑，等下他叫魔盗团去你们家拿东西
点赞数：3  @@Y.
点赞数：2  守口如瓶荷兰弟，从不剧透马克叔
点赞数：2  其实有好几个结局，其的结局都是把绿巨人写死了，这就是为什么要把绿巨人写死的理由了
点赞数：2  @吴怕怕吖ヾ 贼萌的浩克
点赞数：2  叫荷兰弟来
点赞数：2  巴蒂斯塔
点赞数：2  不起哄是不是就说了
点赞数：2  「看」
点赞数：2  罗素兄弟:看来绿巨人不得不换满员了
点赞数：1  漫威迷来了
点赞数：1  哈哈哈，万万没想到有一天我会说一个大叔好可爱呀
点赞数：1  @马桶盖盖子 漫威宇宙第一喜剧演员
点赞数：1  守口如瓶马克叔
点赞数：1  巴蒂斯塔
点赞数：1  剧透狂魔
点赞数：1  转发 ·
点赞数：1  抖森我老公
点赞数：1  抖森真帅
点赞数：1  旁边是野兽，巴蒂斯塔？
点赞数：1  @YR_ 还好还好 恢复正常
