视频名称：#黑豹男主去世
视频点赞数：248000
视频地址：https://www.douyin.com/video/6866248562854857987
评论：
点赞数：7627  作者
点赞数：4851  万坎达forever
点赞数：1842  “在我的文化里，死亡从来不是终点”——黑豹
点赞数：1415  唉…钢铁侠退出了屏幕，美队老去，小蜘蛛被困于所谓的合约，黑豹去了天堂…这真的是十年漫威要结束了么好像我们的青春，忽然间就没了……
点赞数：608  黑豹只是和斯坦李老爷子，一起去看科比的球赛了
点赞数：583  2020年失去了两个最帅的黑人。
点赞数：572  2020过得太累了，过年时的疫情，科比的离世，漫威黑豹的不幸，我相信黑豹你只是回瓦坎达做国王了，科比也只是去了一个新地方开创新历史，一个我的偶像，一个漫威的超级英雄，舍不得其他的人再离开
点赞数：342  2020年对黑人朋友很不有好啊！
点赞数：332  啊啊啊不我不信
点赞数：253  瓦坎达再无国王
点赞数：249  “在我的文化里，死亡并不是终结。更像是前往陌生领域的起点”
点赞数：234  他应该是去瓦坎达继续当国王了
点赞数：206  不管怎样他还是我心中最帅的瓦坎达国王
点赞数：167  其实啊，老爷子想看看复联了，就叫他去给老爷子唠唠嗑，一会回来了
点赞数：78  科比，黑豹，钢铁侠，一路走好
点赞数：5  “在我的文化里，死亡从来不是终点”——黑豹
点赞数：3  @看到晚霞请叫我 收藏里的，一周前的事了，你应该刷到了，应该知道
点赞数：2  瓦坎达万岁，博斯曼，一路走好
点赞数：2  2年前
点赞数：2  我喜欢钢铁侠，对美队无感。不知道为什么，除了那句 九头蛇万岁幽默到我了
点赞数：1  7月前
点赞数：1  2年前
点赞数：1  又回来看黑豹了，又哭了一次
点赞数：1  万坎达forever
点赞数：1  差一点…就差一点…！
点赞数：1  黑豹并不会死亡而是去保护另一个瓦坎达
点赞数：1  再见，黑豹
点赞数：1  都给我哭
点赞数：1  瓦坎达Forever
点赞数：1  漫威不朽，英雄…不散！他们永远是我们心中的英雄！！！
点赞数：1  这2020年，有毛病啊
点赞数：1  优雅又充满野性美的国王，致敬
点赞数：0  @caocao很困. “在我的文化里 死亡从来不是终点”
点赞数：0  2年前
点赞数：0  8月前
点赞数：0  1年前
点赞数：0  还有人记得吗
点赞数：0  瓦坎达forever
点赞数：0  在他的国家里 死亡并不是终结 而是另一个起点
点赞数：0  愿天堂没有灭霸
点赞数：0  瓦坎达Forever
点赞数：0  瓦坎达forever
点赞数：0  他没有死。他只是太想家了。他回到他的国家去看一看了
点赞数：0  瓦坎达Forever
点赞数：0  The
点赞数：0  瓦坎达Forever！
点赞数：0  黑豹：Imsorry，再见，漫威
点赞数：0  瓦坎达forever
点赞数：0  @
点赞数：0  2年前
