视频名称：unknown video
视频点赞数：232000
视频地址：https://www.douyin.com/video/6862654255170440452
评论：
点赞数：16000  这是个悲伤的故事，钢铁侠走了后，小蜘蛛就精神失常了
点赞数：12000  灭霸：我让他消失是有原因的，这下好了，你们又给整回来了
点赞数：3363  漫威：只要这孩子不剧透，其实还是蛮可爱的
点赞数：1656  当初灭霸不先杀钢铁侠而先杀小蜘蛛是有原因的
点赞数：561  泰勒丝：小伙子去不去爬山
点赞数：373  彼得一激灵
点赞数：281  为啥我总是脑补那只咧大嘴啊～的羊
点赞数：236  霉：你是不是觉得你很幽默
点赞数：185  霉霉:你完了
点赞数：139  灭霸：早就说了快给他弄没，这下好，让你们妇联又双叒叕整回来了，有你们好受的
点赞数：134  我可能粉了一个沙雕
点赞数：122  请好好跟你女友约会，少整这些破坏自己个儿形象的事
点赞数：89  让我想起了那只网红土拨鼠。
点赞数：75  这还是荷兰弟吗？
点赞数：70  霉霉：有被冒犯到
点赞数：64  老霉：你觉得你很幽默？
点赞数：59  好家伙，我老公用我老婆的歌拍视频
点赞数：59  灭霸打响指的原因
点赞数：57  哈哈哈，人间沙雕
点赞数：56  感觉回到了以前的抖音
点赞数：50  转发 · 啊！！！！！
点赞数：49  我：所以爱会消失对不对 小蜘蛛：是的，怎么着？！
点赞数：46  我老公这是被我气糊涂了
点赞数：43  进口沙雕就是不一样
点赞数：40  灭霸：知道我为什么要打响指了吗
点赞数：39  复仇5，首领是蜘蛛侠，Boo丨是灭霸女朋友，刚铁侠不是主角
点赞数：37  钢铁侠走后，小蜘蛛就精神失常了
点赞数：34  这个歌原版叫什么
点赞数：34  完了完了形象全没了
点赞数：31  为什么我做起来像个傻子？
点赞数：31  这些视频都是从哪找到的啊？就是荷兰弟自己发的
点赞数：29  托尼:这还是我认识的睡衣宝宝吗?
点赞数：27  有谁刷到钢铁侠要复活了
点赞数：25  漫威：只要他做到两点，不剧透，活着，剩下的随他去吧
点赞数：25  荷兰弟皮起来的样子，太可爱了
点赞数：25  你们没发现上面那张图里没有蜘蛛侠吗？
点赞数：25  老粉回忆这是一年还是两年前的视频了
点赞数：24  蜘蛛侠……
点赞数：23  灭霸:就是看你这一副样子不爽，所以先灭你，当你被灭的那一刻，整个宇宙都安静了
点赞数：20  我的睡衣宝宝你咋发出这种尖叫声？
点赞数：17  原来那只山羊的配音是你
点赞数：14  钢铁侠走了，蜘蛛侠疯了，复仇者联盟解散了
点赞数：14  荷兰弟：汤姆·赫兰德（真名）
点赞数：14  霉霉:我要把你也进歌里
点赞数：14  转发 · 荷兰弟已崩溃
点赞数：14  发型立马打散
点赞数：14  在想嫁你的路上越走越远
点赞数：13  托尼:这孩子没救了
点赞数：12  转发 · 好家伙，钢铁侠没了，小蜘蛛完全疯了
点赞数：12  这还是我喜欢的那个荷兰弟吗？，快告诉我
