视频名称：你是谁？我是#美国队长
视频点赞数：230000
视频地址：https://www.douyin.com/video/6994032664156048670
评论：
点赞数：22000  他们现在不需要美国队长了，他们需要美国密探
点赞数：15000  漫威其实强调了现实
点赞数：6593  我记得这个演员diss你们漫威说不给他出个人电影
点赞数：4547  政治正确啥的先不说，这部剧里冬兵和猎鹰表现是真的拉
点赞数：1833  不打血清就不科学
点赞数：878  就差一针血清
点赞数：343  怎么说呢，虽然我不是美队粉，但是我感觉史蒂夫下线后没人配得上美队。美队更像一种精神，尤其是被雷神锤承认之后更是升华了这种精神，甚至从某种角度说，我觉得约翰（美国密探）都比猎鹰适合美队
点赞数：195  我还以为他去月球了
点赞数：181  你要说是威尔史密斯出演，那我就来劲了
点赞数：125  那个老头是谁？
点赞数：109  美国队长是精神，有很多人说史蒂夫没有血清什么都不是，可他一无所有的时候面对炸弹，有几个能做到那样？
点赞数：109  好像是有那么一会是吧 @DC宇宙
点赞数：47  下一阶段都是魔法多元宇宙什么的，美国队长好像没能力领导复仇者了啊
点赞数：45  某部漫画里好像就是他继承的美队头衔？
点赞数：18  所以说黑豹成独立电影是有多不容易 瓦坎达forever
点赞数：12  @DC宇宙
点赞数：11  我有个疑问，复联四最后美国队长回到过去，和爱人共度一生，按道理来说，美国队长回到了过去，应该是平行时空的过去，没有看到时间机械的使用，为什么会看到老年的美队？
点赞数：8  @史蒂夫俊杰 美队还是你有灵魂，别人无法取代
点赞数：5  知道为什么会让一个白人在猎鹰前继承盾牌继承美国队长吗，因为不经过转折，所有人是不会接受直接继承美国队长的猎鹰。漫威这波操作很强
点赞数：4  白人那个美国队长其实也非常努力，很想保护大家，花很对心思在上面，但是他们不服气不承认他
点赞数：3  旺达幻视 yyds
点赞数：3  史蒂芬也知道这个黑人，也许为了弥补他，才把盾牌交给同为黑人的猎鹰
点赞数：3  最后有点像忍者神龟@阚巧
点赞数：2  @别叫我美女 帅不帅
点赞数：2  忍者神龟？
点赞数：2  猎鹰动不动就来个邪魅一笑
点赞数：1  @mmmxt 鹰队
点赞数：1  从此再无猎鹰
点赞数：1  @玄青
点赞数：1  仔细想一想，很多出名的超级英雄都是白人，少数是黑人，比如猎鹰和战争机器，再就是神盾局局长
点赞数：1  我挺喜欢猎鹰的
点赞数：1  @DC宇宙 回我一下
点赞数：1  你是独一无二的猎鹰，为何要成为别人呢
点赞数：1  这个人是谁啊
点赞数：1  yyds @DC宇宙
点赞数：1  后来怎么样了？
点赞数：1  @李一一
点赞数：1  @Queenie
点赞数：1  不喜欢猎鹰
点赞数：1  @该用户很懒
点赞数：0  这个老人是谁
点赞数：0  @DC宇宙 帅哥报道
点赞数：0  黑豹好像是因为首部黑人超级英雄电影，全球票房超级英雄独立电影排第一
点赞数：0  @DC宇宙 别回狗头啦
点赞数：0  1年前
点赞数：0  @吃肉的兔子大哥
点赞数：0  我也觉得美国队长不能是黑人
点赞数：0  1年前
点赞数：0  下一届钢铁侠也是黑人
点赞数：0  老黑人是谁
