视频名称：#漫威
视频点赞数：228000
视频地址：https://www.douyin.com/video/6818161759921196291
评论：
点赞数：12000  女巫身材太好，谁不想抱
点赞数：10000  在中国妹纸不反打你就不错了，还想抱抱
点赞数：2944  最不正经的人演最正经的角色
点赞数：2845  神奇四侠才是本色出演
点赞数：1903  猕hotel队长在我心中的人设崩了
点赞数：1789  老男孩警告
点赞数：1304  美队的笑点是真的低
点赞数：1225  桃总的主要目的是抱那两下
点赞数：955  我也想抱抱奥妹
点赞数：583  奥妹太可爱了，桃总太调皮
点赞数：323  老公真帅
点赞数：143  桃总最经典的，手捂着胸口，然后仰面大笑
点赞数：112  吓不是主要目的，抱才是主要目的
点赞数：92  我算是明白了，桃总就想抱抱奥妹
点赞数：45  直接把别人压在墙上？
点赞数：41  幻视：我giao，为什么我感觉我红红的脑袋壳格润了
点赞数：39  我还是忘不了，女巫和灭霸的，没羞没臊的生活
点赞数：34  调皮的队长，阔爱的奥妹儿
点赞数：33  奥妹：我想在电影里一本正经的打美队
点赞数：27  奥妹：我星星你个大星星
点赞数：24  因为你们戴了黄色眼镜所以看的东西是黄色的
点赞数：19  有人记得那副名画吗
点赞数：19  直接被吓成世界名画
点赞数：18  绯红 :你抱就抱呗 为什么要顶我
点赞数：17  为嘛要把女巫按在墙上顶一下呢
点赞数：17  奥妹：美队你再皮，我就叫我男友灭霸来收拾你了
点赞数：16  美队抱了女巫，还tm压了过去
点赞数：16  奥妹：想抱我就直说 吓唬我干嘛
点赞数：16  我看过老男孩 懂的→
点赞数：16  漫威的沙雕视频里，桃和荷兰弟各占据半壁江山
点赞数：16  美队好像顶了几下
点赞数：16  可怜的外国人连卧槽都不会说
点赞数：16  我也想像美队一样想抱奥妹就抱奥妹
点赞数：14  美队既然把绯红女巫怼在墙上
点赞数：13  他抱我奥妹可以 但是为什么要往墙上顶
点赞数：11  抱就算了，还把人往墙上拱
点赞数：11  我也想抱抱奥妹
点赞数：11  尼玛，就是想抱一下，这套路真
点赞数：10  这要是电影里桃总早没了
点赞数：10  最不认真的人出演了一个最认真的角色。
点赞数：9  如果是绯红女巫的话，早就拿混沌魔法把他撕成两半了
点赞数：9  在我们这一般吓人都大喊：逮！
点赞数：9  最不正经的人 演了个正经人
点赞数：8  美队：能多抱几下是几下
点赞数：8  原来这样就可以得到女神的抱抱啊，我去实数
点赞数：8  难怪美队喜欢吓人，把女巫都吓脱衣服了，我也喜欢
点赞数：8  美队把奥妹吓成了世界名画
点赞数：8  你分明就是想抱我奥妹
点赞数：8  为啥美队的便宜占的那么自然
点赞数：8  吓出世界名画
