视频名称：#漫威
视频点赞数：227000
视频地址：https://www.douyin.com/video/6839675214423510284
评论：
点赞数：2535  哈哈哈，剧组都被偷了好多次了，你偷得是最贵的
点赞数：2459  谁能告诉我猫咪表情怎么发，我也想发
点赞数：1496  没事，锤子哥家里的喵喵锤还有蛮多的不够去屎大颗家里拿复联大楼的LOGO
点赞数：1053  呀，前排
点赞数：681  其实这把也是海总偷出来的吧
点赞数：290  小茄子出身就是不露头，这可急坏了医生
点赞数：210  高考请记得带准考证、身份证、2b铅笔、橡皮、直尺、三角板、量角器、圆规、0.5中性笔、垫板、矿泉水，如果第一个出考场被采访的话麻烦说一声加强一下宫本武藏
点赞数：161  海总又顺走了一个雷神之锤
点赞数：154  话说，电梯配得上这个锤子吗为啥能把雷神和锤子一起举起来
点赞数：144  雷神：你偷我锤子了。绿巨人：我偷个锤子。
点赞数：123  唐尼偷了大楼的logo..
点赞数：121  今天我期末考试陌生人能祝福我作弊成功吗
点赞数：100  守口如瓶荷兰弟，从不剧透马克叔
点赞数：98  众所周知，锤子子直接拿是拿不动的，得放到包里，然后把包拿走
点赞数：66  众所周知，漫威道具都是演员的共同财产
点赞数：18  复仇者联盟里的人顺走了有多少东西
点赞数：13  海总：我刚偷到手！还没捂热乎呢，你又给我偷走了！
点赞数：11  直接把浩克的裤子捐了不就行了
点赞数：11  钢铁侠才叫牛逼把大山上的那个A光明正大的找剧组要剧组亲自送到家里
点赞数：9  Im偷锤子
点赞数：7  锤哥手一伸，人和锤子都飞过去了，两全其美
点赞数：7  没关系马叔，这锤子也是那货从剧组顺的，好像还顺了五个
点赞数：7  我只想问一句:浩克都拿不动，你咋拿起来的？
点赞数：6  你变个身，拿个喵喵锤算什么，阿斯加德的地皮你都能拿去拍卖了
点赞数：6  没事儿雷神从漫威那里偷了5把锤子
点赞数：6  雷神靠卖锤子发家致富
点赞数：5  他应该去偷史塔克的铠甲
点赞数：5  应该正大光明的走，然后背景音乐响起“正道的光”。。。。。
点赞数：4  马克叔好逗
点赞数：4  搞了半天浩克拿得动锤子啊
点赞数：4  讲道理 他打不过你 变身干就完了
点赞数：3  i am 偷锤子，i am进牢子
点赞数：3  估计有一百把备用之锤
点赞数：2  问题是报警也没人敢追
点赞数：2  Cast翻译错了
点赞数：2  我：我什么时候死的？
点赞数：2  进牢子 抽华子
点赞数：1  不是说雷神的锤子没人拿得动吗？
点赞数：1  我觉得还是队长适合用锤子，队长玩锤子比雷神玩的6666
点赞数：1  美队还顺走一个盾牌呢
点赞数：1  雷神，你拿吧，我换斧子了
点赞数：1  马叔应该是又又又又又又偷了
点赞数：1  锤哥的锤子被偷了
点赞数：1  海总的锤子是丢的最多的道具了吧
点赞数：1  说真的，这个我去年就看到了
点赞数：1  锤
点赞数：1  美队那个盾，钢铁侠的头盔鹰眼的箭，蜘蛛侠的服装，要偷就偷一整队的嘛
点赞数：1  漫威下一部：雷神黑化。
点赞数：1  @月亮打烊了 啊哈哈哈哈哈哈
点赞数：1  2年前
