视频名称：unknown video
视频点赞数：221000
视频地址：https://www.douyin.com/video/6822965597899459843
评论：
点赞数：18000  你们有没有发现浩克的一个爱好，就是狂砸奥丁的俩儿子
点赞数：5933  相信我，她会来一句who are you
点赞数：4263  第七有点晚，作者翻我否则你秃顶
点赞数：709  放心吧，我不可能碰到唐尼
点赞数：351  抖森：是时候谈一谈版权费的事了
点赞数：303  这个场景太像当初在微博看到抖森为了给异地恋女友惊喜 取消了面试 突然出现在女友面前的画面了
点赞数：196  我怎么感觉是个黑粉，偏偏说了一句被浩克打的那一段
点赞数：133  大哥，cos的不错吗，我还以为是真人呢
点赞数：122  就怕这个小孩突然来一句：who are you
点赞数：75  当盗版洛基遇见了正版洛基
点赞数：56  要我就会当场哭出来
点赞数：50  把版权费交一下
点赞数：43  就怕他来一句，害兄弟你长得和我偶像一样一样的。
点赞数：33  你要知道洛基可是恶作剧之神。
点赞数：15  就怕突然来句：Who are you？
点赞数：9  《复仇者联盟5：决战特朗普》
点赞数：5  赶紧跑赶紧跑
点赞数：5  真神假神的对决
点赞数：4  就怕小孩再突然来一句：你谁啊你
点赞数：4  出现的如果是浩克就是另一个故事了
点赞数：3  大姐：这位胡渣大叔是谁呀
点赞数：3  我喜欢钢铁侠
点赞数：3  浩克提起来扳一扳
点赞数：2  抖森好帅啊
点赞数：2  就怕那个小朋友突然蹦出来一句:卧槽
点赞数：2  抖森:我们来谈谈版权问题
点赞数：2  可怜的小姐姐一句卧槽都不会
点赞数：2  抖森默默的走了过来，请问您有版权吗？
点赞数：2  这女的真可怜，连句卧槽都不会说
点赞数：2  怕来一句：who are you？
点赞数：2  我也饿抖森
点赞数：2  哇哦
点赞数：1  我会啊啊啊啊啊啊啊啊啊啊啊得
点赞数：1  就怕突然来一句：你谁啊
点赞数：1  作者是漫威的人吗？
点赞数：1  转发 · 一声Hello苏瘫了
点赞数：1  抖森超级帅
点赞数：1  @Rita_Jkk 声音太酥了
点赞数：1  转发 · 我的汤抖森啊
点赞数：1  抖森太帅了
点赞数：1  你是谁？
点赞数：1  可能外国人不会说卧C
点赞数：1  真怕他说一句你是谁？
点赞数：1  吓老子一跳，雷霆嘎巴，靠
点赞数：1  还记得日本有个小伙cos红凯，结果石黑英雄就在后面
点赞数：1  原来洛基这么帅的啊
点赞数：1  我忘不了这个妹子说了句 hi
点赞数：1  没有大叫一声可以了
点赞数：1  这时候突然出现浩克的粉丝就比较有戏剧性了
点赞数：1  @Heartbeat.
