视频名称：unknown video
视频点赞数：217000
视频地址：https://www.douyin.com/video/7168440185414241547
评论：
点赞数：19000  一直在听说山海经，广告也在打山海经，可翻拍出来的却是他漫威。
点赞数：6388  我们山海经里的物种咋成了漫威的了？
点赞数：4  《奇怪的马》那是麒麟好吧
点赞数：2  尚气这电影吧除了男主女主人选的不好，其他设定都还不错（我觉得）
点赞数：2  什么电影
点赞数：2  这男主跟女主也太……辣眼睛
点赞数：2  这里面万一有个穷奇
点赞数：2  @婉。 @轨迹./ @汁唔猪 @Annnn（长高版） 没脸
点赞数：1  这是混沌吧
点赞数：1  亲们，这个电影叫什么？我要看
点赞数：1  山海经里面的混沌，上古四大凶兽：混沌，饕餮，梼杌，穷奇
点赞数：1  刚看完 好看
点赞数：1  九尾狐 像马那个是睚眦吧？
点赞数：1  什么电影
点赞数：1  《神奇动物在哪里》？
点赞数：1  把男女主角换了就是一部好片子
点赞数：1  莫里斯好像叫帝江
点赞数：1  @-Nii @黒心髒. 太酷了吧
点赞数：1  泥巴玩完了，没有绿色叶子了
点赞数：1  笑死中国山海经神兽被国外翻拍出来
点赞数：0  什么电影？
点赞数：0  我之前在哪看到的图是两个屁股
点赞数：0  女主是真的一言难尽
点赞数：0  @肘大 给我也整一个 没开玩笑
点赞数：0  格鲁特那个镜头是哪部片？
点赞数：0  其实我觉得这部片子还是拍的可以
点赞数：0  这剧里梁朝伟的西装真的好看
点赞数：0  混沌：我叫莫里斯？
点赞数：0  毕方
点赞数：0  看了一段就放弃了，看这演员影响心情
点赞数：0  3周前·浙江
点赞数：0  什么名字
点赞数：0  ？
点赞数：0  瞅给格鲁特好看的叫出海豚音了
点赞数：0  没有记错的话，这里边是有中国人吧？
点赞数：0  山海经
点赞数：0  山海经
点赞数：0  @林深时见鹊. 山海经里他是帝江或者混沌，但是！我刚看了剧情！！！！他叫帝埙！！！
点赞数：0  那个着火的鸟是凤凰吗？
点赞数：0  什么电影
点赞数：0  难道不是混沌吗？
点赞数：0  毛茸茸的，好想抓
点赞数：0  莫提斯是不是荒野的吗？
点赞数：0  帝江好可爱
点赞数：0  1月前·重庆
点赞数：0  还得是噬元兽啊！
点赞数：0  这个的名字到底叫什么
点赞数：0  怎么还有格鲁特
点赞数：0  山海经
点赞数：0  @贩售云朵 格鲁特好可爱
