视频名称：洛基：大家用生命换来的无限宝石，在这里却一文不值#漫威
视频点赞数：182000
视频地址：https://www.douyin.com/video/7097936356189523213
评论：
点赞数：20000  世界观崩塌了 之前做的事还有没有意义
点赞数：13000  洛基在时间管理局连世界观都崩塌了吧
点赞数：11000  里面唯独没有灵魂原石
点赞数：7210  鹰眼说过他的眼睛可以看的很远 一清二楚 所以寡姐摔下去的每个瞬间 他都看的清清楚楚
点赞数：6525  你这个剪的蛮好，大家获取宝石的过程，在接了洛基看到这些放在抽屉里一文不值的宝石的表情
点赞数：2909  咱把漫威告了吧
点赞数：1050  如果是洛基在时间管理所拿走6颗宝石去现实世界，那么那些宝石还有用么？
点赞数：441  你视之如珍宝的那个女孩，如今在别人家里洗衣做饭带孩子。你的梦想早就被现实打的支离破碎。而你眼里的光夜渐渐暗淡。活着只为了生我的人。
点赞数：314  这个开头场景是那一部电影 家人们知道的说一下
点赞数：248  这是直接心灵精神上的降维打击，拼尽生命也要争取的宝石只是个镇纸石
点赞数：237  海姆达尔的金色眼睛有什么作用？
点赞数：149  红骷髅到底在美队和复联中是什么关系
点赞数：53  洛基在时间管理局里看到在自己世界的宝石在这里居然毫无意义，世界观顿时崩塌
点赞数：39  这是哪的片段
点赞数：14  这BGM叫什么，好悲伤，但是又觉得给人力量
点赞数：10  最绝望的莫过于自己坚守的东西在别人眼里什么都不是，真是扎心。
点赞数：6  海姆达尔会去英灵殿，洛基呢
点赞数：5  始于我是钢铁侠，终于我是钢铁侠
点赞数：2  洛基肯定想他哥哥和他的妈妈了吧
点赞数：1  @时令 sign. 洛基最后到的那个管理局，是最残酷的
点赞数：1  @比企谷八幡 @监护人 其实对于你们来说，没什么，对我来说感觉真的很说不过去
点赞数：1  @〄. 简直了
点赞数：1  洛基第一季前面真的很感人，后面真的很变态啊，自己爱上自己，oh no
点赞数：1  开头洛基那幕是哪部电影里的？
点赞数：1  @竹想 @牛奶有毒 我太难过了
点赞数：1  @ciauc 在我们的宇宙里英雄拼命守护的宝石在其他空间却一文不值
点赞数：1  @piu piu @Itach1 这个我真的接受不了哭死我了
点赞数：1  @阿特
点赞数：1  灭霸这样其实对人类有点好处，延迟了天神组得诞生 天神组诞生那整个地球都没了，这也是灭霸唯一一个知道宇宙的事，也是灭霸一直说为了宇宙稳定，做的事
点赞数：1  或许你向往的东西在别人眼里一文不值，但别忘了，他对于你来说意味着什么
点赞数：1  @B3o
点赞数：0  @yyy @黑桃Q.. @徯 大家用生命换的东西在那里一文不值
点赞数：0  一切痛苦和罪恶源自于贫穷
点赞数：0  看了蚁人3！我总结一句话，多元宇宙危机就是复仇者联盟穿越时空导致的！洛基拿不到空间宝石就不会认识希尔维！希尔维也不会捅康
点赞数：0  雷神3的剧情？
点赞数：0  @慢慢来、不着急
点赞数：0  这才叫科幻片，很有深度，让人思考。
点赞数：0  穷极一生的东西，在别人那里一文不值
点赞数：0  这部洛基真是高开低走啊 尤其是结局
点赞数：0  只不过后面过保安那一段情节就很搞笑了
点赞数：0  看着这一堆原石，就觉得复联的他们……只是一场笑话吗？
点赞数：0  时间管理局为什么不管复联穿越呢
点赞数：0  怎个假洛基看，5毛钱那个科幻电影
点赞数：0  @道林·格雷 这啥啊
点赞数：0  里面没有灵魂宝石
点赞数：0  @Xiao雨 介个
点赞数：0  不行
点赞数：0  @BallBreaker 真的会哭啊洛基
点赞数：0  @诗意不尽意
点赞数：0  好痛
