视频名称：鹰眼：后面的剧情我都知道了
视频点赞数：460000
视频地址：https://www.douyin.com/video/7176590148375727392
评论：
点赞数：39000  鹰眼：我只要射偏一次就不配和他们站在一起
点赞数：19000  我又来了，鹰眼的视力远超普通人，寡姐死的时候他看的很清楚
点赞数：13000  钢铁侠都知道保护射手
点赞数：11000  鹰眼失聪了，如果托尼还在的话，他一定会给他做一个非常牛逼的助听器
点赞数：8721  美队老的时候简直和拜登一个样
点赞数：6360  我的漫威宇宙，始于钢铁侠，终于钢铁侠，之后的漫威跟我没啥关系了
点赞数：5006  钢铁侠带鹰眼飞的时候，喊他莱戈拉斯，那是指环王精灵神射手的名字。
点赞数：4020  初代只剩鹰眼了，他内心是多么悲伤
点赞数：3133  我真的好喜欢鹰眼，不靠氪金不靠变异，啥也不能依靠，就是妇联里最普通的，感觉好像我，身边朋友都可以靠父母亲戚，而我只能靠我自己
点赞数：1647  又一次想踢死星爵
点赞数：735  鹰眼和寡姐之间是男女之间纯洁的友谊吗
点赞数：97  漫威是唯一一个让我看了多面，还是会爱上一个演员的电影
点赞数：58  始于钢铁侠 终于钢铁侠
点赞数：54  老了的美队好像拜登
点赞数：18  BGM：call of silence（钢琴版）
点赞数：4  哭死的是 每个点我竟然都知道 反复看接着反复掉眼泪 没有钢铁侠之后 我已经很久 很久没在关注漫威了
点赞数：4  @m @ilu @鲜葱雷钢炮 @鹅鹅鹅 @都多余了 @Swordas @叶y @伏伏福福 为什么不梦复活钢铁侠
点赞数：2  钢铁侠死了，漫威也就死了
点赞数：2  前天，鹰眼也出事了
点赞数：2  @我不是海神 @尽余欢 爷青结了，初代就剩鹰眼了
点赞数：2  是啊，我已经长大了
点赞数：1  我觉得在也没有以前的那种快乐和期待的感觉了，现在看也只要怀念了，有些时候看着看着就
点赞数：1  十年漫威，十年青春
点赞数：1  克林特:后面的剧情我都知道 可是我却没能带他们回来
点赞数：1  已经长大了
点赞数：1  美队2开始，老粉了
点赞数：1  @@樱. 好刀我
点赞数：1  开头那个片段是啥
点赞数：1  @Together. 全是回忆
点赞数：1  @мvр 真的感动我
点赞数：1  世间最悲凉的莫过于英雄末路，美人迟暮吧
点赞数：1  @小鱼呆呆脑 求你去看漫威真的
点赞数：1  @〄. 剪辑的可以
点赞数：1  @Pikkky 你看，回忆就像酒精洒在了伤口，刺痛，却又快乐
点赞数：1  @逃过一劫 @G搞的鬼 @鹤寻良处 @7 @jack.🍉 留下来的人最孤独这句话说的很对
点赞数：0  @702 哦哦哦
点赞数：0  我真的不希望结局是这样
点赞数：0  @叶子用坠落证明换季 杀我别用漫威刀
点赞数：0  @現虛 进击的鹰眼
点赞数：0  这是最近漫威拍的最好的了
点赞数：0  @芋圆吃不吃 好刀
点赞数：0  @🐻‍❄️ @忧伤的萝卜 @AAA钢筋混凝土批发于哥 @臭diaosi @AAA板砖批发部刘经理 @A.🐠海鲜批发_王哥 @Noone @黄昏· 泪目
点赞数：0  坐在那里的，鹰眼后面的好像是灭霸
点赞数：0  @萧逸的萧小五.
点赞数：0  @
点赞数：0  @超爱螺蛳粉！ 每次看都想哭
点赞数：0  鹰眼失聪了，如果钢铁侠还在的话，肯定会给鹰眼做一个特别厉害的助听器唉@夏天～我不走了 @执惜 @再恰1碗小丸子. @琳'🎀 @抱抱丸子ʸ @星宇大宝贝.🌹 @公子-达达鸭 @🐟恋海
点赞数：0  I think I’ve seen this film before，
点赞数：0  4周前·河南
点赞数：0  @克莱因蓝 你可能没看过复联
