视频名称：unknown video
视频点赞数：175000
视频地址：https://www.douyin.com/video/6820721270213086468
评论：
点赞数：32000  终于明白为什么雷神砍他的意志这么坚决了
点赞数：10000  雷神：大哥，别唱了，你直接打响指吧
点赞数：2817  作者
点赞数：2092  被人家砍了头还给人家唱生日歌
点赞数：2073  灭霸怎么开始教孕吐了
点赞数：846  复仇者们：知道我们为啥干掉灭霸了吧
点赞数：712  雷神：别拦着我 我要锤爆他
点赞数：294  这绝对是被雷神砍掉的灭霸的脑袋来报仇了
点赞数：264  只砍脑袋是索尔最后的善良了吧
点赞数：179  @小菠萝头火箭 来一个，姐
点赞数：172  @酷盖. @九泰的亭亭 @茶 @害吖 终于明白为什么他们要灭掉灭霸
点赞数：170  为了看到他呕那么一下，我忍着呕看完了一整个视频
点赞数：158  雷神：下次直接往嘴上砍
点赞数：154  战后，复联众人心有余悸的说：“比他的响指更厉害的，是他的歌喉。”
点赞数：137  有这个能力要啥手套
点赞数：120  一首歌可以给三个Chris过生日用
点赞数：7  我现在终于知道复联四为什么雷神要砍紫薯精的大头了
点赞数：5  2年前
点赞数：5  好家伙，给自己唱吐了
点赞数：5  因为他们不能唱英文版的生日快乐，唱了要交版权费
点赞数：3  把雷神唱走了
点赞数：3  @小梦雨 最后那个口区
点赞数：1  @鸽鸽子 @Sugar 听过没
点赞数：1  这个怎么设置铃声
点赞数：1  @再不斩.
点赞数：1  @。。。。。 雷神看灭霸的理由之一
点赞数：1  @请叫我俊哥。听得我真的……
点赞数：1  雷神:我锤呢？
点赞数：1  @LeBronJames 哈哈哈哈哈哈哈哈哈哈
点赞数：1  @婉and婉 @小松菜奈 要知道灭霸这样，他把卡魔拉杀了的时候我也不会那么伤心了
点赞数：1  @格兰芬多的奕雯
点赞数：1  @：） 看评论
点赞数：0  @Chris 生日快乐婆婆
点赞数：0  @留下让我爱你 你看到最后哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈去
点赞数：0  @雎（ju） 最后的yue是精髓
点赞数：0  @cxcxcx 知道的是雷神生日 不知道的以为是他忌日
点赞数：0  @ⁿᵃ 灭霸
点赞数：0  @、 ҉ 重新连接中… 我过生日也希望能听到
点赞数：0  @江上月. 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈爷喷了
点赞数：0  @Can not let go 请自动把chirs改成张驰
点赞数：0  最后给自己唱吐了
点赞数：0  @業華
点赞数：0  @J___Y 哈哈哈
点赞数：0  直接给人唱走了
点赞数：0  @国荣 哈哈哈哈哈哈哈哈哈
点赞数：0  2年前
点赞数：0  @Luan大
点赞数：0  @小熊熊 本想昨天发给你的，结果他妈忘了
点赞数：0  雷神这次绝对记得砍头了
点赞数：0  @爱骑车的Derbi东 来看灭霸原型
