视频名称：#漫威
视频点赞数：432000
视频地址：https://www.douyin.com/video/6755052599956819213
评论：
点赞数：4  应该不会有杀海拉，2012年的洛基哪里知道海拉的存在
点赞数：3  哈哈哈哈哈哈哈哈哈哈哈哈欲言又止
点赞数：3  你们是不是给荷兰弟准备的稿子？
点赞数：3  3年前
点赞数：3  哈哈哈哈哈哈哈 这个访问我能回答什么
点赞数：3  主持人的套路实在是太深了，想承认的，不想承认的，全都被逼出来
点赞数：3  Loki每次想说的时候，突然想到不能剧透，于是一个大喘气
点赞数：3  浑身上下全是戏……so，太爱你了
点赞数：3  我笑死了 啥都没说但是啥都说了
点赞数：3  漫威电影里最有魅力的反派
点赞数：3  转发 · @大胡子老爷
点赞数：3  是哈哈哈哈哈一时语塞 抖森太可爱了8 i了
点赞数：3  他回归了就填补了钢铁侠缺席的遗憾
点赞数：3  转发 · 太难了 洛基太难了
点赞数：3  @顾霸天
点赞数：2  @桃红星 快来看
点赞数：2  罗素的嘴骗人的鬼
点赞数：2  咄咄逼人
点赞数：2  He said no nothing so sad why he bully me
点赞数：2  这种节目，也就小丑那个符合被问人的心情了吧
