视频名称：雷神：你们这群老六，都能举起我的锤子？
视频点赞数：172000
视频地址：https://www.douyin.com/video/7172534064677670174
评论：
点赞数：28000  有些人呐，假装拿不起来，背地里把连招都练好了
点赞数：13000  其实美队能拿得动，只是为了给雷神面子，装作拿不动
点赞数：4365  美队那段都是人情世故。
点赞数：3702  挂钩在某些意义上已经超过漫威英雄了
点赞数：2857  喵喵锤本身并不沉，主要是看它自己让不让拿
点赞数：2560  难道只有我一个好奇那个挂架为什么能吊起那个锤子吗
点赞数：2144  幻视、海拉、美国队长、简都拿起锤子
点赞数：1934  衣架：所以我也是超级英雄？
点赞数：1120  为什么队长凡人之躯可以举起？
点赞数：986  我相信钢铁侠在打响指那一刻能举起雷神锤
点赞数：819  美队拿的时候锤哥的表情都变了
点赞数：680  打灭霸的时候就不把锤子放灭霸身上 导演不让
点赞数：239  没看过雷神4，简为什么能拿起锤子？是雷神留在女友体内某种力量吗？
点赞数：190  所以，最牛逼的是一开始的衣架
点赞数：86  衣架怎么卖
点赞数：66  作者
点赞数：5  我想知道衣服钩是怎么挂住的
点赞数：3  觉得漫威不让钢铁侠拿锤子很不合理
点赞数：3  按理说钢铁侠虽然拿不起来，但战甲可以拿起来啊，战甲属于无生命体
点赞数：2  衣架和电梯：我们可以。美国队长和雷神：我们也可以。
