视频名称：钢铁侠的纳米战甲是最帅的！
视频点赞数：137000
视频地址：https://www.douyin.com/video/7087893057793772832
评论：
点赞数：4182  假如说。。史塔克开发了反灭霸装甲和反宝石装甲。。。
点赞数：3299  能拿下灭霸一血的，恐怕只有钢铁侠的，虽然没打过灭霸
点赞数：3118  以凡人之躯 比肩神明
点赞数：1296  每次看有tony的剪辑都得泪目
点赞数：897  以后再也没有钢铁侠了吗？
点赞数：611  只是纳米材料不够用了，不然耗也把灭霸耗死
点赞数：605  作者
点赞数：435  同样有钱，钢铁侠比蝙蝠侠厉害
点赞数：348  人们实在无法忘记钢铁侠，求你活过来吧，多狗血的剧情都可以，只要你活过来，我都觉得合理的！
点赞数：223  我要是穿上这盔甲去挑大粪！我看谁敢和我抢！！！
点赞数：215  漫威我最喜欢钢铁侠了，可是钢铁侠没有了
点赞数：165  到现在也没看明白 纳米盔甲附身的时候眼镜摘下来放哪了
点赞数：156  荷兰弟绝对钢铁侠亲儿子
点赞数：127  每次看到都忍不住
点赞数：110  眼镜去哪了
点赞数：55  哇塞，每次听这个BGM都有种热血沸腾的感觉，简直就是漫威专属
点赞数：0  钢铁侠真的背负太多了，很难不喜欢
点赞数：0  @zhunaidayo
点赞数：0  1周前
点赞数：0  剪的漂亮，要是首尾能呼应一下绝对泪崩
