视频名称：漫威：她不是一个人，我们是妇仇着联盟！
视频点赞数：134000
视频地址：https://www.douyin.com/video/7150922377898085646
评论：
点赞数：6375  终局之战女性角色并肩作战的大场面唯独少了寡姐 我真的看一次哭一次
点赞数：4036  大师就不明白为啥会死
点赞数：3352  寡姐的一句她不是一个人，后面她一个人跳下去的场景相对真的很想哭
点赞数：2818  好想念钢铁侠和小辣椒
点赞数：1322  复联四里面女复仇者集合到时候 要是寡姐在的话 应该在跑在最前面的
点赞数：1250  古一真神没意见吧
点赞数：1008  女雷神？女绿巨人？女鹰眼？这都是啥
点赞数：581  后面都是什么电影我咋都没看过
点赞数：265  为啥没有神奇女侠
点赞数：245  下一代复联不是女人就是黑
点赞数：218  我以为最后一幕是复仇四的众女集结，黄蜂女，惊奇队长都没有出现
点赞数：215  星爵才是真正的父愁者
点赞数：164  But you are alone……我的娜塔莎……
点赞数：59  我真的好爱寡姐和屎大颗老头偏偏我最爱的两个人无了 当时在电影院看 真的给我哭死了
点赞数：40  黑豹里的女保镖不就是米琼恩吗
点赞数：5  绯红女巫的，防御有点差，直接近身杀就完了。
点赞数：4  怎么不放女巫单挑灭霸那段
点赞数：1  小辣椒保护钢铁侠哪点是哪个啊
点赞数：1  @春. 看看漫威
点赞数：0  @稀饭 我女巫
